msgId,name,direction,protoType,bucket,sourceCapture,fixtureCount,avgBytes,handledToday,owner,status
8794,ClientToGCGetCurrentPrivateCoachingSessionResponse,s2c,CMsgClientToGCGetCurrentPrivateCoachingSessionResponse,por-jugador,fixtures/nethook/server_8794_0001.bin,1,2,yes,,builder-existente
8801,ClientToGCGetAvailablePrivateCoachingSessionsSummaryResponse,s2c,CMsgClientToGCGetAvailablePrivateCoachingSessionsSummaryResponse,por-jugador,fixtures/nethook/server_8801_0001.bin,1,6,yes,,builder-existente
8854,ClientToGCGetHeroStickersResponse,s2c,CMsgClientToGCGetHeroStickersResponse,por-jugador,fixtures/nethook/server_8854_0001.bin,1,4,yes,,builder-existente
8880,GCToClientRankResponse,s2c,CMsgGCToClientRankResponse,por-jugador,fixtures/nethook/server_8880_0001.bin,3,15,yes,,builder-existente
8887,ClientToGCShowcaseGetUserDataResponse,s2c,CMsgClientToGCShowcaseGetUserDataResponse,por-jugador,fixtures/nethook/server_8887_0001.bin,2,764,yes,,builder-existente
8904,,s2c,,desconocido,fixtures/nethook/server_8904_0001.bin,1,83,yes,,builder-existente
8945,ClientToGCOverworldGetUserDataResponse,s2c,CMsgClientToGCOverworldGetUserDataResponse,por-jugador,fixtures/nethook/server_8945_0001.bin,1,3056,yes,,builder-existente
9024,ClientToGCMonsterHunterGetUserDataResponse,s2c,CMsgClientToGCMonsterHunterGetUserDataResponse,por-jugador,fixtures/nethook/server_9024_0001.bin,1,6,yes,,builder-existente
9600,,s2c,,desconocido,fixtures/nethook/server_9600_0001.bin,1,5,yes,,builder-existente
9803,,s2c,,desconocido,fixtures/nethook/server_9803_0001.bin,1,11,yes,,builder-existente
15002,ObservedWelcomeAux,s2c,,por-jugador,fixtures/nethook/server_15002_0001.bin,8,283,yes,,builder-existente
